,imageName,drow,dcol
0,graffiti_bark_img1_2,-121,172
1,graffiti_bark_img1_3,78,-139
2,graffiti_bark_img1_4,-151,-86
3,graffiti_bark_img2_1,54,100
4,graffiti_bark_img2_3,123,-170
5,graffiti_bark_img2_4,-68,-150
6,graffiti_bark_img3_2,-134,66
7,graffiti_bark_img3_3,82,-94
8,graffiti_bark_img3_4,-67,-51
9,graffiti_bark_img4_2,-141,78
10,graffiti_bark_img4_3,171,-149
11,graffiti_bark_img4_4,-70,-90
12,graffiti_bark_img5_2,-114,143
13,graffiti_bark_img6_1,55,89
14,graffiti_bark_img6_3,146,-158
15,graffiti_bark_img6_4,-111,-169
16,graffiti_bikes_img1_1,110,89
17,graffiti_bikes_img1_2,-72,168
18,graffiti_bikes_img1_4,-84,-139
19,graffiti_bikes_img2_1,174,116
20,graffiti_bikes_img2_4,-116,-82
21,graffiti_bikes_img3_1,85,160
22,graffiti_bikes_img3_2,-143,56
23,graffiti_bikes_img3_3,159,-168
24,graffiti_bikes_img4_1,73,82
25,graffiti_bikes_img4_2,-109,63
26,graffiti_bikes_img4_3,73,-174
27,graffiti_bikes_img5_1,154,161
28,graffiti_bikes_img5_2,-159,62
29,graffiti_bikes_img5_4,-168,-104
30,graffiti_bikes_img6_2,-101,166
31,graffiti_bikes_img6_3,145,-128
32,graffiti_bikes_img6_4,-81,-123
33,graffiti_boat_img1_2,-152,83
34,graffiti_boat_img1_3,71,-85
35,graffiti_boat_img2_1,69,49
36,graffiti_boat_img2_2,-77,132
37,graffiti_boat_img3_1,154,170
38,graffiti_boat_img3_2,-106,126
39,graffiti_boat_img4_1,87,81
40,graffiti_boat_img4_2,-166,147
41,graffiti_boat_img4_4,-147,-65
42,graffiti_boat_img5_2,-82,122
43,graffiti_boat_img5_4,-61,-114
44,graffiti_boat_img6_1,124,145
45,graffiti_boat_img6_2,-152,63
46,graffiti_boat_img6_3,127,-164
47,graffiti_graff_img1_1,78,154
48,graffiti_graff_img1_2,-69,144
49,graffiti_graff_img1_3,84,-114
50,graffiti_graff_img1_4,-64,-163
51,graffiti_graff_img2_2,-91,108
52,graffiti_graff_img2_3,176,-113
53,graffiti_graff_img2_4,-84,-123
54,graffiti_graff_img3_1,57,157
55,graffiti_graff_img3_2,-73,47
56,graffiti_graff_img3_3,136,-162
57,graffiti_graff_img3_4,-65,-170
58,graffiti_graff_img4_1,115,95
59,graffiti_graff_img4_2,-168,76
60,graffiti_graff_img4_3,71,-156
61,graffiti_graff_img5_3,155,-120
62,graffiti_graff_img5_4,-174,-74
63,graffiti_graff_img6_3,70,-119
64,graffiti_graff_img6_4,-63,-173
65,graffiti_light_img1_1,128,87
66,graffiti_light_img1_2,-48,147
67,graffiti_light_img1_4,-93,-105
68,graffiti_light_img2_1,128,168
69,graffiti_light_img2_3,124,-142
70,graffiti_light_img3_1,53,160
71,graffiti_light_img3_2,-116,144
72,graffiti_light_img3_3,155,-101
73,graffiti_light_img3_4,-131,-156
74,graffiti_light_img4_1,79,122
75,graffiti_light_img4_2,-165,57
76,graffiti_light_img4_3,87,-109
77,graffiti_light_img4_4,-148,-95
78,graffiti_light_img5_1,86,100
79,graffiti_light_img5_2,-81,161
80,graffiti_light_img5_3,91,-100
81,graffiti_light_img5_4,-87,-120
82,graffiti_light_img6_1,52,137
83,graffiti_light_img6_3,93,-71
84,graffiti_light_img6_4,-150,-149
85,graffiti_ubc_img1_1,90,63
86,graffiti_ubc_img1_3,83,-128
87,graffiti_ubc_img1_4,-71,-66
88,graffiti_ubc_img2_1,52,140
89,graffiti_ubc_img2_2,-65,59
90,graffiti_ubc_img2_3,74,-101
91,graffiti_ubc_img3_1,111,128
92,graffiti_ubc_img3_2,-175,169
93,graffiti_ubc_img3_3,120,-47
94,graffiti_ubc_img4_2,-67,85
95,graffiti_ubc_img4_4,-173,-114
96,graffiti_ubc_img5_1,55,52
97,graffiti_ubc_img6_1,139,88
98,graffiti_ubc_img6_2,-126,119
